X,Y,OBJECTID,ifc_uid,Type_Description,Session_Key,Object_Metadata,Botanical_ID,Planning_Ref_No,Number_Trees,Data_Sheet_URL,created_user,created_date,last_edited_user,last_edited_date,address,full_address,lat,long,place_id
527026.907999999821186,5252814.4763,13,1482116,PLANNING Significant Trees,Sketch,,Araucaria bidwillii,B11,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B11 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
527023.822399999946,5252809.371,14,1482117,PLANNING Significant Trees,Sketch,,Abies pinsapo,B12,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B12 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
527019.531999999657273,5252802.678399999626,15,1482118,PLANNING Significant Trees,Sketch,,Aesculus hippocastanum,B13,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B13 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
526991.629599999636412,5252782.54889999982,16,1482119,PLANNING Significant Trees,Sketch,,Abies numidica,B14,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B14 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
527011.027599999681115,5252795.05399999954,17,1482120,PLANNING Significant Trees,Sketch,,Abies pinsapo var Glauca,B15,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B15 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
526973.379999999888241,5252753.5925,18,1482121,PLANNING Significant Trees,Sketch,,Lauris nobilis,B16,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B16 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
526963.729899999685585,5252756.639899999835,19,1482122,PLANNING Significant Trees,Sketch,,"Cedrus atlantica ""Glauca""",B17,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B17 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
526967.323200000450015,5252876.8562,20,1482123,PLANNING Significant Trees,Sketch,,Pinus wallichiana,B18,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B18 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
526944.0422,5252907.8267,21,1482126,PLANNING Significant Trees,Sketch,,Casaurina obesa,B21,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B21 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,71 Brooker Ave,"Domain House, 71 Brooker Avenue, Glebe TAS 7000, Australia",-42.87667630000001,147.3299768,ChIJb5Pfbp11bqoRXOn0i_siYas
525912.050300000235438,5250884.649699999951,23,1480344,PLANNING Significant Trees,Sketch,,Araucaria heterophylla,E1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/E1 3 Elboden St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,3 Elboden St,"3 Elboden St, South Hobart TAS 7004, Australia",-42.8941927,147.3172517,ChIJ47nvnfN1bqoRIQIU13GOZq8
